nodeID;Name;Cat 1 ID;Cat 2 ID;Cat 3 ID;Cat 4 ID;COUNTRY;Country ID
9378;Ascoli Piceno (Italy) ;143;130;;;Italy;189
9357;Národní park Camargue (France) ;161;163;161;151;France;187
9356;Arles (France) ;130;;143;155;France;187
9355;Pont du Gard (France) ;130;;143;;France;187
9354;Les Baux de Provence (France) ;130;;143;155;France;187
9353;Avignon (France) ;143;155;130;;France;187
9352;Grand Canyon du Verdon (France) ;161;133;169;;France;187
9351;Hamburk (Germany) ;143;155;143;;Germany;191
9350;Monte Sant Angelo (Italy) ;130;;143;155;Italy;189
9349;Poutní město Loreto (Italy) ;130;;143;141;Italy;189
9348;Poutní město Assisi (Italy) ;130;;143;155;Italy;189
9347;Vysoké Tatry (Slovakia) ;161;133;;;Slovakia;197
9346;Thermal Park Bešeňová - termální akvapark (Slovakia) ;175;125;;;Slovakia;197
9345;Kežmarok (Slovakia) ;143;155;143;141;Slovakia;197
9344;Spišský hrad (Slovakia) ;143;135;130;;Slovakia;197
9343;Nice (France) ;143;155;130;;France;187
9341;Paříž (France) ;143;155;130;;France;187
9340;Termální aquapark Tatralandia (Slovakia) ;175;125;169;171;Slovakia;197
9358;Marseille (France) ;143;155;130;;France;187
9359;Pyrenejský národní park (France) ;161;163;169;;France;187
9360;Carcassonne (France) ;130;;143;155;France;187
9371;Perugia (Italy) ;130;;143;155;Italy;189
9372;Capri (Italy) ;143;155;;;Italy;189
9373;Sorrento (Italy) ;143;155;130;;Italy;189
9374;Amalfi (Italy) ;143;155;130;;Italy;189
9375;Sardinie (Italy) ;143;130;;;Italy;189
9376;Sicílie (Italy) ;143;130;;;Italy;189
9377;Ancona (Italy) ;143;130;;;Italy;189
9342;Mont Saint Michel (France) ;130;;143;141;France;187
9370;Palermo (Italy) ;130;;143;155;Italy;189
9369;Pompeje (Italy) ;130;;143;155;Italy;189
9361;Florencie (Firenze) (Italy) ;143;155;130;;Italy;189
9362;Věž v Pise (Italy) ;130;;143;;Italy;189
9363;Remeš (France) ;143;155;130;;France;187
9364;La Rochelle (France) ;130;;143;155;France;187
9365;Saint-Émilion (France) ;143;155;130;;France;187
9366;Bordeaux (France) ;143;155;130;;France;187
9367;Zámek Orlík (Czechia) ;130;;143;135;Czechia;181
9368;Neapol (Italy) ;130;;143;155;Italy;189
9304;Miramare Castle (Italy) ;130;;143;135;Italy;189
9305;Gori (Italy) ;130;;143;155;Italy;189
9324;Lanový park Libín (Czechia) ;169;147;161;151;Czechia;181
9307;Pordenone (Italy) ;130;;143;155;Italy;189
9308;Udine (Italy) ;130;;143;155;Italy;189
9309;Cividale del Friuli (Italy) ;130;;143;155;Italy;189
9310;Tarvisio (Italy) ;161;133;169;153;Italy;189
9311;Bologna (Boloňa) (Italy) ;130;;143;155;Italy;189
9312;Moravský kras (Czechia) ;161;137;161;133;Czechia;181
9313;Adršpašské a Teplické skály (Czechia) ;161;133;169;131;Czechia;181
9314;Modena (Italy) ;130;;143;155;Italy;189
9303;Trieste (Trieste) (Italy) ;130;;161;157;Italy;189
9302;Belluno (Italy) ;161;133;169;153;Italy;189
9291;Marianske Lazne (Czechia) ;143;155;143;155;Czechia;181
9292;Venice (Venezia) (Italy) ;130;;143;155;Italy;189
9293;Vicenza (Italy) ;130;;143;155;Italy;189
9294;Island Mljet (Croatia) ;161;157;169;171;Croatia;183
9295;Rab Island (Croatia) ;161;157;169;171;Croatia;183
9296;Diving - Veruda (Croatia) ;169;159;169;171;Croatia;183
9297;Diving - Rovinj (Croatia) ;169;159;169;171;Croatia;183
9298;Diving - Stara Novalja (Croatia) ;169;159;169;171;Croatia;183
9299;Cres Island (Croatia) ;161;157;169;171;Croatia;183
9300;Verona (Italy) ;130;;143;155;Italy;189
9301;Treviso (Italy) ;130;;143;155;Italy;189
9290;Litomyšl (Czechia) ;143;155;130;;Czechia;181
9315;Reggio Emilia (Reggio nell´Emilia) (Italy) ;130;;169;;Italy;189
9330;Zámek Vranov nad Dyjí (Czechia) ;143;135;130;;Czechia;181
9331;Františkovy Lázně (Czechia) ;143;155;130;;Czechia;181
9332;Jeseníky (Czechia) ;161;133;169;;Czechia;181
9333;Jizerské hory (Czechia) ;161;133;169;;Czechia;181
9334;Hrad Kokořín (Czechia) ;130;;143;135;Czechia;181
9335;Hrad Bouzov (Czechia) ;130;;143;135;Czechia;181
9336;Zámek Jaroměřice nad Rokytnou (Czechia) ;130;;143;135;Czechia;181
9337;Zámek Sychrov (Czechia) ;130;;143;135;Czechia;181
9338;Banská Štiavnica (Slovakia) ;143;155;143;;Slovakia;197
9339;Košice (Slovakia) ;143;155;130;;Slovakia;197
9306;Aquileia (Italy) ;130;;143;155;Italy;189
9329;Trenčín (Slovakia) ;143;155;143;135;Slovakia;197
9328;Termální lázně Piešťany (Slovakia) ;143;155;;;Slovakia;197
9316;Hrad Karlštejn (Czechia) ;130;;143;135;Czechia;181
9317;Zámek Lednice (Czechia) ;130;;143;135;Czechia;181
9318;Zámek Konopiště (Czechia) ;130;;143;135;Czechia;181
9319;Zámek Hluboká (Czechia) ;130;;143;135;Czechia;181
9320;Národní park České Švýcarsko (Czechia) ;161;163;161;133;Czechia;181
9321;Karlovy Vary (Czechia) ;130;;143;155;Czechia;181
9322;Krkonoše (Czechia) ;161;133;169;;Czechia;181
9323;Český Krumlov (Czechia) ;130;;143;155;Czechia;181
9325;Jánošíkovy dny v Terchové (Slovakia) ;145;;175;;Slovakia;197
9326;Bratislava (Slovakia) ;143;155;130;;Slovakia;197
9327;Hrad Červený kamen (Slovakia) ;130;;143;135;Slovakia;197
9258;Val di Fiemme (Italy) ;161;133;161;163;Italy;189
9257;Val di Sole (Italy) ;161;163;169;;Italy;189
9256;Val di Non (Italy) ;161;163;169;;Italy;189
9255;Aquapark Babylon + IQ park (Czechia) ;175;125;175;177;Czechia;181
9259;Val di Fassa (Italy) ;161;133;161;163;Italy;189
9260;Dolomiti - Sella mountain range (Italy) ;161;133;169;153;Italy;189
9261;Heide Park (Germany) ;175;177;;;Germany;191
9262;Padua (Italy) ;130;;143;155;Italy;189
9263;Zadar (Croatia) ;143;155;;;Croatia;183
9264;Kutna Hora (Czechia) ;130;;130;;Czechia;181
9265;Split (Croatia) ;143;155;130;;Croatia;183
9253;Olomouc (Czechia) ;130;143;;;Czechia;181
9252;Plitvice Lakes National Park (Croatia) ;161;163;161;139;Croatia;183
9251;Elbow (Czechia) ;130;;130;;Czechia;181
9241;Rovereto (Italy) ;130;;143;155;Italy;189
9242;Bolzano (Italy) ;130;;143;155;Italy;189
9243;Europa Park (Germany) ;175;177;;;Germany;191
9244;Brenta Dolomites (Italy) ;161;133;169;131;Italy;189
9245;Sand (Czechia) ;130;;143;155;Czechia;181
9246;Dubrovnik (Croatia) ;143;155;130;;Croatia;183
9247;Domažlice (Czechia) ;130;;143;155;Czechia;181
9248;Trakošćan Castle (Croatia) ;130;;143;135;Croatia;183
9249;Jindřichův Hradec (Czechia) ;130;;143;155;Czechia;181
9250;Mělník (Czechia) ;130;;143;155;Czechia;181
9240;Trento (Trentino) (Italy) ;130;;143;135;Italy;189
9266;Paklenica National Park (Croatia) ;161;163;169;131;Croatia;183
9279;Telč (Czechia) ;143;155;143;;Czechia;181
9280;Merano (Italy) ;130;;161;163;Italy;189
9281;Opatija (Croatia) ;143;155;169;171;Croatia;183
9282;Tree top trail - Bavarian Forest (Germany) ;175;177;161;151;Germany;191
9283;Island Krk (Croatia) ;169;159;169;171;Croatia;183
9284;Island Brac (Croatia) ;169;159;169;171;Croatia;183
9285;Island Hvar (Croatia) ;169;171;169;159;Croatia;183
9286;Island Pag (Croatia) ;169;171;169;159;Croatia;183
9287;Korcula Island (Croatia) ;169;171;169;159;Croatia;183
